window_id,video_id,video_filename,tester_name,project,start_time,end_time,silence_ratio,narration_density,words_per_minute,avg_silence_duration,avg_confidence,unique_words_ratio,avg_sentence_length
ghum_wa_w049,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3408.03,3484.919,0.0346,0.9654,222.4,0.1771,0.9485,0.4245614035087719,9.5
ghum_wa_w050,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3485.139,3549.81,0.0342,0.9658,227.3,0.1577,0.9214,0.6244897959183674,9.074074074074074
ghum_wa_w051,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3551.439,3620.76,0.0513,0.9487,176.57,0.2732,0.9814,0.6617647058823529,13.6
ghum_wa_w052,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3621.679,3685.739,0.0035,0.9965,142.37,0.224,0.9931,0.6907894736842105,19.0
ghum_wa_w053,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3687.53,3763.86,0.0063,0.9937,172.93,0.24,0.9488,0.6227272727272727,14.666666666666666
ghum_wa_w054,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3764.389,3844.969,0.0,1.0,213.7,0.0,0.9609,0.5749128919860628,15.944444444444445
ghum_wa_w055,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3845.25,3915.139,0.0023,0.9977,201.75,0.0533,0.9381,0.6,8.392857142857142
ghum_wa_w056,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3916.55,3979.719,0.034,0.966,239.36,0.3017,0.9606,0.5595238095238095,14.0
ghum_wa_w057,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,3980.129,4045.01,0.0227,0.9773,211.77,0.184,0.9432,0.4890829694323144,10.409090909090908
ghum_wa_w058,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,4045.61,4108.459,0.0097,0.9903,192.84,0.0676,0.9472,0.6683168316831684,8.416666666666666
ghum_wa_w059,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,4108.979,4188.028,0.0049,0.9951,179.89,0.0768,0.9426,0.5443037974683544,8.777777777777779
ghum_wa_w060,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,4188.68,4261.06,0.0363,0.9637,212.21,0.1874,0.934,0.51953125,9.846153846153847
ghum_wa_w061,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,4262.83,4324.81,0.1454,0.8546,249.76,0.3211,0.9451,0.43410852713178294,7.588235294117647
ghum_wa_w062,ghum_wa,project_1f7f2859-ac90-4696-b89f-1077aa6040be_ghum.mp4,ghum,department-of-premier-and-cabinet-wa,4325.75,4391.419,0.1391,0.8609,229.33,0.304,0.9795,0.4860557768924303,8.964285714285714
